Country,Regulation Status,Policy Lever,Governance Type,Actor Involvement,Enforcement Level,Specific Laws,Sources,Last Updated,Confidence
Afghanistan,Afghanistan has no specific AI legislation or comprehensive national AI policy as of March 2026. The country continues to lack a formal regulatory framework for artificial intelligence development and deployment.,"No identifiable policy mechanisms, guidelines, or regulatory levers for AI governance have been established. Governance remains absent in the AI domain.","No formal AI governance structure, designated regulatory body, or institutional framework exists for overseeing artificial intelligence in Afghanistan. Governance responsibilities remain undefined.","Limited documented involvement from government, private sector, or civil society in AI policy development. International engagement on AI issues remains minimal.","No enforcement mechanisms, oversight bodies, or compliance monitoring systems for AI regulation exist.",,,2026-03-21,medium
Albania,"Albania has no national AI regulation as of March 2026, instead relying on the EU's risk-based AI Act framework through its EU integration pathway. The country is adopting international standards including the Council of Europe's AI Convention framework.","Albania's policy approach centers on human rights, democracy, and rule of law protections in AI systems, informed by EU guidelines and CoE frameworks. The country is developing institutional capacity to address future AI governance challenges.","Governance remains primarily organizational, with model governance emerging through EU alignment rather than domestic AI-specific institutions. Albania lacks dedicated national AI regulatory bodies with autonomous enforcement authority.","Multiple actors including the EU Commission, Council of Europe, and Albanian government institutions coordinate AI policy at regional and intergovernmental levels. Albania's EU candidacy status significantly shapes its regulatory trajectory through external institutional requirements.","Enforcement mechanisms are minimal and primarily indirect through EU compliance requirements, with limited domestic AI-specific enforcement infrastructure in place.",Council of Europe AI Convention (signed/ratification status pending),european-union.europa.eu|coe.int,2026-03-21,medium
Algeria,"Algeria follows the African Union's human-rights-centered AI governance framework through regional documentation including the 2021 AI Blueprint and subsequent White Papers, but has not enacted specific national AI legislation as of March 2026. The country's approach remains aligned with continental AU initiatives rather than autonomous domestic regulation.","Algeria engages with data and computing export controls as a policy mechanism through regional AU frameworks, though implementation at the national level remains limited. Policy levers are primarily aspirational and aligned with continental strategy rather than actively deployed domestic instruments.",Algeria's AI governance follows a case-by-case and organizational approach emphasizing private sector engagement and human-centered principles inherited from AU frameworks. Governance structures remain nascent without dedicated national AI regulatory bodies or comprehensive institutional frameworks.,"Algeria participates in regional governance through the African Union (particularly the July 2024 Continental AI Strategy session) and international collaboration with G7 and UNDP, but domestic institutional actors have limited documented involvement. Governance scope is primarily regional and international rather than nationally-driven.",No active enforcement mechanisms or dedicated oversight bodies for AI regulation exist at the national level in Algeria as of March 2026.,,,2026-03-21,low
Andorra,"Andorra has no national AI regulation as of March 2026, instead relying on EU frameworks through its alignment with European standards. The country follows the EU's risk-based approach to AI governance and is implementing provisions from the Council of Europe's AI Framework Convention adopted in March 2024.","Andorra employs a data-protection and human rights-based policy approach centered on mitigating AI risks through institutional oversight. The policy focuses on democratic values, rule of law protections, and alignment with Council of Europe standards rather than sector-specific regulation.","Governance is primarily organizational and model-based, delegated to EU-level and Council of Europe frameworks rather than domestic institutional structures. Andorra lacks dedicated national AI governance bodies, instead relying on existing regulatory frameworks adapted from European standards.","Key actors include the EU regulatory framework, the Council of Europe (through the AI Convention), and Andorran alignment mechanisms at the intergovernmental level. Primary influence comes from regional and supranational institutions rather than domestic actors.","Enforcement remains minimal at the national level, with compliance mechanisms largely dependent on EU framework implementation and voluntary adherence to Council of Europe standards.",,,2026-03-21,low
Angola,"Angola follows a human-rights-centered approach to AI governance primarily through African Union frameworks and documentation rather than domestic legislation. The country has not enacted comprehensive national AI legislation as of early 2026, relying instead on regional protocols and voluntary guidelines promoted through AU channels.",Angola engages with data and computing export controls through African Union coordination mechanisms. Policy implementation remains largely consultative and non-binding at the national level.,Angola adopts case-by-case and organizational governance focused on developing private sector engagement with human-centered AI principles. Governance structures emphasize multi-stakeholder dialogue rather than centralized regulatory bodies.,"The African Union, G7, and UNDP are primary external actors shaping Angola's AI policy direction through documentation and capacity-building initiatives. Angola participates in continental and international AI governance forums but maintains limited autonomous domestic regulatory infrastructure.","Enforcement mechanisms are minimal, with reliance on voluntary compliance and organizational self-governance rather than formal penalties or audits.",,,2026-03-21,low
Antigua and Barbuda,Antigua and Barbuda remains in early-stage AI regulation development with no binding AI-specific legislation enacted as of March 2026. The government has expressed interest in adopting EU-style AI regulation but has not yet formalized proposals into law or concrete policy frameworks.,No formal policy mechanisms or regulatory levers have been implemented. The country relies on general ICT and data protection frameworks rather than AI-specific policy instruments.,No dedicated AI governance structure or oversight body has been established. AI policy development appears to operate through general government channels without specialized institutional arrangements.,"Involvement is limited to government-level considerations with minimal documented participation from private sector, academia, or civil society. Geographic scope remains domestic with no clear international coordination mechanisms visible.",No enforcement mechanisms exist for AI regulation given the absence of binding legislation or designated regulatory authorities.,,,2026-03-21,low
Argentina,"Argentina maintains a non-binding, principles-based approach to AI governance through ethical guidelines rather than statutory regulation. As of early 2026, no comprehensive AI-specific legislation has been enacted, though the government continues to explore a light-touch regulatory framework aligned with its stated preference for innovation-friendly policies.",Policy mechanisms consist primarily of voluntary ethical guidelines and stakeholder engagement rather than binding legal instruments. The government relies on industry self-regulation and international cooperation frameworks rather than prescriptive legislation.,"Governance is decentralized and multi-stakeholder, involving coordination between government agencies, academic institutions, and industry players without a dedicated centralized AI regulatory authority. Decision-making reflects a preference for industry consultation and consensus-building over top-down regulation.","Primary actors include the Argentine national government, technology sector representatives, and academic institutions, with engagement at the national level. International participation occurs through MERCOSUR coordination and engagement with global AI governance initiatives.",No formal enforcement mechanisms exist for AI governance; compliance with guidelines is voluntary and lacks penalty provisions or dedicated oversight bodies.,,,2026-03-21,low
Armenia,"Armenia has no domestically enacted national AI regulation as of March 2026, but participates in EU-aligned frameworks and Council of Europe initiatives. The country is following a risk-based approach influenced by EU standards and the Council of Europe's AI Convention adopted in March 2024.","Armenia leverages data protection, human rights, democracy, and rule of law principles as policy mechanisms to address AI risks. The approach emphasizes institutional safeguards and future-risk mitigation through international framework alignment.","Governance structure remains primarily organizational and model-focused, with limited domestic institutional capacity. Oversight is largely delegated to regional and intergovernmental bodies through EU and Council of Europe frameworks.","Armenia engages with EU legal frameworks and Council of Europe mechanisms at the regional and intergovernmental level, with limited domestic governmental actors developing independent AI policy. International organizations play the primary role in shaping Armenian AI governance.","Enforcement mechanisms are minimal, as Armenia lacks dedicated domestic AI regulatory bodies or statutory enforcement authorities for AI-specific rules.",,,2026-03-21,low
Australia,"Australia maintains a voluntary guardrails approach for high-risk AI applications without dedicated AI-specific legislation as of March 2026. Regulation is primarily addressed through existing frameworks in privacy, online safety, and consumer protection, supplemented by non-binding ethical guidelines at federal and state levels.","Primary levers are voluntary industry guardrails, ethical frameworks, and incidental regulation through sector-specific laws rather than direct AI mandates. The approach relies on industry self-regulation and compliance with existing legal frameworks adapted to AI contexts.","Governance is fragmented across federal and state levels with no dedicated AI regulatory body. Multiple agencies address AI indirectly through privacy (OAIC), online safety (eSafety Commissioner), and consumer protection frameworks.","Key actors include the federal government, state governments (particularly NSW with its assurance framework), industry bodies, and the Office of the Australian Information Commissioner. Involvement spans national level policy with state-level implementation and private sector participation in voluntary schemes.","Enforcement is limited to existing regulatory bodies applying general laws; no dedicated AI enforcement mechanism exists, resulting in soft compliance monitoring through voluntary guardrails and indirect sector-specific oversight.","Privacy Act 1988, Online Safety Act 2021, Australian Consumer Law",https://www.industry.gov.au/policies-and-initiatives/artificial-intelligence|https://www.oaic.gov.au/|https://www.esafety.gov.au/,2026-03-21,medium
Austria,"Austria operates under the EU AI Act (effective August 2024), implementing a risk-based regulatory framework that categorizes AI systems from prohibited to high-risk with corresponding compliance requirements. National implementation of the EU framework is ongoing, with Austria actively transposing directives and developing supplementary guidance for sectoral application.","Austria employs data protection, human rights, and democratic governance principles as core policy levers, leveraging GDPR compliance mechanisms and fundamental rights assessments to mitigate AI risks. The policy framework emphasizes institutional oversight and algorithmic accountability across both public and private sectors.","Austria utilizes a multi-layered governance structure combining organizational compliance requirements with model governance standards, enforced through designated AI offices and data protection authorities. Governance includes impact assessments, algorithmic auditing, and transparency mechanisms embedded in organizational processes.","Regulation is coordinated at the EU regional level through the AI Act framework, with Austria's national implementation involving federal ministries, state authorities, and private sector stakeholders. International coordination occurs through EU institutions, with Austria participating in broader OECD and UN AI governance initiatives.","Enforcement is conducted through Austria's data protection authority (DSB), sectoral regulators, and EU-level oversight mechanisms, with administrative fines up to 6% of global revenue for AI Act violations and active audit and monitoring programs.","EU AI Act (2024), GDPR (2018), Austrian Data Protection Act (2018), AI Liability Directive (EU, draft as of 2026)",https://www.dsb.gv.at|https://www.bmdw.gv.at|https://digital-strategy.ec.europa.eu,2026-03-21,medium
